Query,Output,Docstring
"Summarize all issues from rev org ""HEHE"". 
Create 15 actionable tasks from the summary and add them to the current sprint.","var_1 = works_list(type=[""issue""],issue.rev_orgs = [""HEHE""])
var_2 = summarize_objects(objects = var_1) 
var_3 = create_actionable_tasks_from_text(text=var_2,limit=15)
var_4 = get_sprint_id()
var_5 = add_work_items_to_sprint(work_ids = var_3,sprint_id = var_4)","def works_list(applies_to_part=None, created_by=None, issue.priority=None,

issue.rev_orgs=None, limit=50, owned_by=None, stage.name=None,

ticket.needs_response=False, ticket.rev_org=None,

ticket.severity=None, ticket.source_channel=None, work_type=None):

""""""

Returns a list of work items matching the request

Parameters:

applies_to_part (list): Filters for work belonging to any of the provided parts

created_by (list): Filters for work created by any of these users

issue.priority (list): Filters for issues with any of the provided priorities. Allowed values: p0, p1, p2, p3

issue.rev_orgs (list): Filters for issues with any of the provided Rev organizations

limit (int): The maximum number of works to return. The default is '50'

owned_by (list): Filters for work owned by any of these users

stage.name (list): Filters for records in the provided stage(s) by name

ticket.needs_response (bool): Filters for tickets that need a response

ticket.rev_org (list): Filters for tickets associated with any of the provided Rev organizations

ticket.severity (list): Filters for tickets with any of the provided severities. Allowed values: blocker, high, low, medium

ticket.source_channel (list): Filters for tickets with any of the provided source channels

type (list): Filters for work of the provided types. Allowed values: issue, ticket, task

Returns:

list: Matching work items

""""""

def summarize_objects(objects):

""""""

Summarizes a list of objects. The logic of how to summarize a

particular object type is an internal implementation detail

Parameters:

objects (list): List of objects to summarize

Returns:

text: Summarized text of the objects

""""""

def prioritize_objects(objects):

""""""

Returns a list of objects sorted by priority. The logic of what constitutes

priority for a given object is an internal implementation detail

Parameters:

objects (list): A list of objects to be prioritized

Returns:

list: Prioritized objects

""""""

def add_work_items_to_sprint(work_ids, sprint_id):

""""""

Adds the given work items to the sprint

Parameters:

work_ids (list): A list of work item IDs to be added to the sprint

sprint_id (str): The ID of the sprint to which the work items should be added

""""""

def get_sprint_id():

""""""

Returns the ID of the current sprint

""""""

def get_similar_work_items(work_id):

""""""

Returns a list of work items that are similar to the given work item

Parameters:

work_id (str): The ID of the work item for which you want to find similar items

Returns:

list: Similar work items

""""""

def search_object_by_name(query):

""""""

Given a search string, returns the ID of a matching object in the system of record.

If multiple matches are found, it returns the one where the confidence is highest

Parameters:

query (str): The search string, could be for example customer’s name, part name, user name

Returns:

str: ID of matching object

""""""

def create_actionable_tasks_from_text(text,limit):

""""""

Given a text, extracts actionable insights, and creates tasks for them,

which are kind of a work item

Parameters:

text (str): The text from which the actionable insights need to be created
limit(int): The maximum number of actionable insights to create. The default is 10. 

Returns:

list: tasks created from the given text

""""""

def who_am_i():

""""""

Returns the string ID of the current user

"""""""
"Find similar work items to ""RUSH-009"" in the current sprint. Prioritize then summarize these work items.","var_1 = get_sprint_id()
var_2 = get_similar_work_items(work_id = ""RUSH-009"",sprint_id = var_1)
var_3 = prioritize_objects(objects = var_2)
var_4 = summarize_objects(objects = var_3)","def works_list(applies_to_part=None, created_by=None, issue.priority=None,

issue.rev_orgs=None, limit=50, owned_by=None, stage.name=None,

ticket.needs_response=False, ticket.rev_org=None,

ticket.severity=None, ticket.source_channel=None, work_type=None):

""""""

Returns a list of work items matching the request

Parameters:

applies_to_part (list): Filters for work belonging to any of the provided parts

created_by (list): Filters for work created by any of these users

issue.priority (list): Filters for issues with any of the provided priorities. Allowed values: p0, p1, p2, p3

issue.rev_orgs (list): Filters for issues with any of the provided Rev organizations

limit (int): The maximum number of works to return. The default is '50'

owned_by (list): Filters for work owned by any of these users

stage.name (list): Filters for records in the provided stage(s) by name

ticket.needs_response (bool): Filters for tickets that need a response

ticket.rev_org (list): Filters for tickets associated with any of the provided Rev organizations

ticket.severity (list): Filters for tickets with any of the provided severities. Allowed values: blocker, high, low, medium

ticket.source_channel (list): Filters for tickets with any of the provided source channels

type (list): Filters for work of the provided types. Allowed values: issue, ticket, task

Returns:

list: Matching work items

""""""

def summarize_objects(objects):

""""""

Summarizes a list of objects. The logic of how to summarize a

particular object type is an internal implementation detail

Parameters:

objects (list): List of objects to summarize

Returns:

text: Summarized text of the objects

""""""

def prioritize_objects(objects):

""""""

Returns a list of objects sorted by priority. The logic of what constitutes

priority for a given object is an internal implementation detail

Parameters:

objects (list): A list of objects to be prioritized

Returns:

list: Prioritized objects

""""""

def add_work_items_to_sprint(work_ids, sprint_id):

""""""

Adds the given work items to the sprint

Parameters:

work_ids (list): A list of work item IDs to be added to the sprint

sprint_id (str): The ID of the sprint to which the work items should be added

""""""

def get_sprint_id():

""""""

Returns the ID of the current sprint

""""""
def get_similar_work_items(work_id,sprint_id):

""""""

Returns a list of work items that are similar to the given work item

Parameters:

work_id (str): The ID of the work item for which you want to find similar items

sprint_id(str): The ID of the sprint in which to search for the work items

Returns:

list: Similar work items

""""""

def search_object_by_name(query):

""""""

Given a search string, returns the ID of a matching object in the system of record.

If multiple matches are found, it returns the one where the confidence is highest

Parameters:

query (str): The search string, could be for example customer’s name, part name, user name

Returns:

str: ID of matching object

""""""

def create_actionable_tasks_from_text(text):

""""""

Given a text, extracts actionable insights, and creates tasks for them,

which are kind of a work item

Parameters:

text (str): The text from which the actionable insights need to be created

Returns:

list: tasks created from the given text

""""""

def who_am_i():

""""""

Returns the string ID of the current user

"""""""
Prioritize my high priority issues and add them to the current sprint,"var1 = who_am_i()
var2 = works_list(issue.priority = ""high"", owned_by = var1)
var3 = prioritize_objects(objects = var2)
var4 = get_sprint_id()
var5 = add_work_items_to_sprint(work_ids = var3, sprint_id = var4)","def works_list(applies_to_part=None, created_by=None, issue.priority=None,

issue.rev_orgs=None, limit=50, owned_by=None, stage.name=None,

ticket.needs_response=False, ticket.rev_org=None,

ticket.severity=None, ticket.source_channel=None, work_type=None):

""""""

Returns a list of work items matching the request

Parameters:

applies_to_part (list): Filters for work belonging to any of the provided parts

created_by (list): Filters for work created by any of these users

issue.priority (list): Filters for issues with any of the provided priorities. Allowed values: high, low

issue.rev_orgs (list): Filters for issues with any of the provided Rev organizations

limit (int): The maximum number of works to return. The default is '50'

owned_by (list): Filters for work owned by any of these users

stage.name (list): Filters for records in the provided stage(s) by name

ticket.needs_response (bool): Filters for tickets that need a response

ticket.rev_org (list): Filters for tickets associated with any of the provided Rev organizations

ticket.severity (list): Filters for tickets with any of the provided severities. Allowed values: blocker, high, low, medium

ticket.source_channel (list): Filters for tickets with any of the provided source channels

type (list): Filters for work of the provided types. Allowed values: issue, ticket, task

Returns:

list: Matching work items

""""""

def summarize_objects(objects):

""""""

Summarizes a list of objects. The logic of how to summarize a

particular object type is an internal implementation detail

Parameters:

objects (list): List of objects to summarize

Returns:

text: Summarized text of the objects

""""""

def prioritize_objects(objects):

""""""

Returns a list of objects sorted by priority. The logic of what constitutes

priority for a given object is an internal implementation detail

Parameters:

objects (list): A list of objects to be prioritized

Returns:

list: Prioritized objects

""""""

def add_work_items_to_sprint(work_ids, sprint_id):

""""""

Adds the given work items to the sprint

Parameters:

work_ids (list): A list of work item IDs to be added to the sprint

sprint_id (str): The ID of the sprint to which the work items should be added

""""""

def get_sprint_id():

""""""

Returns the ID of the current sprint

""""""

def get_similar_work_items(work_id):

""""""

Returns a list of work items that are similar to the given work item

Parameters:

work_id (str): The ID of the work item for which you want to find similar items

Returns:

list: Similar work items

""""""

def search_object_by_name(query):

""""""

Given a search string, returns the ID of a matching object in the system of record.

If multiple matches are found, it returns the one where the confidence is highest

Parameters:

query (str): The search string, could be for example customer’s name, part name, user name

Returns:

str: ID of matching object

""""""

def create_actionable_tasks_from_text(text):

""""""

Given a text, extracts actionable insights, and creates tasks for them,

which are kind of a work item

Parameters:

text (str): The text from which the actionable insights need to be created

Returns:

list: tasks created from the given text

""""""

def who_am_i():

""""""

Returns the string ID of the current user

"""""""
"Reverse prioritize then summarize all tickets belonging to user ""BRU004"".","var_1 = works_list(type=[""ticket""],owned_by = [""BRU004""])
var_2 = prioritize_objects(objects = var_1, reverse = True)
var_3 = summarize_objects(objects = var_2)","def works_list(applies_to_part=None, created_by=None, issue.priority=None,

issue.rev_orgs=None, limit=50, owned_by=None, stage.name=None,

ticket.needs_response=False, ticket.rev_org=None,

ticket.severity=None, ticket.source_channel=None, work_type=None):

""""""

Returns a list of work items matching the request

Parameters:

applies_to_part (list): Filters for work belonging to any of the provided parts

created_by (list): Filters for work created by any of these users

issue.priority (list): Filters for issues with any of the provided priorities. Allowed values: p0, p1, p2, p3

issue.rev_orgs (list): Filters for issues with any of the provided Rev organizations

limit (int): The maximum number of works to return. The default is '50'

owned_by (list): Filters for work owned by any of these users

stage.name (list): Filters for records in the provided stage(s) by name

ticket.needs_response (bool): Filters for tickets that need a response

ticket.rev_org (list): Filters for tickets associated with any of the provided Rev organizations

ticket.severity (list): Filters for tickets with any of the provided severities. Allowed values: blocker, high, low, medium

ticket.source_channel (list): Filters for tickets with any of the provided source channels

type (list): Filters for work of the provided types. Allowed values: issue, ticket, task

Returns:

list: Matching work items

""""""

def summarize_objects(objects):

""""""

Summarizes a list of objects. The logic of how to summarize a

particular object type is an internal implementation detail

Parameters:

objects (list): List of objects to summarize

Returns:

text: Summarized text of the objects

""""""
def prioritize_objects(objects,reverse):

""""""

Returns a list of objects sorted by priority. The logic of what constitutes

priority for a given object is an internal implementation detail

Parameters:

objects (list): A list of objects to be prioritized

reverse(bool): If true, returns a reversed list. Default is False.

Returns:

list: Prioritized objects

""""""

def add_work_items_to_sprint(work_ids, sprint_id):

""""""

Adds the given work items to the sprint

Parameters:

work_ids (list): A list of work item IDs to be added to the sprint

sprint_id (str): The ID of the sprint to which the work items should be added

""""""

def get_sprint_id():

""""""

Returns the ID of the current sprint

""""""

def get_similar_work_items(work_id):

""""""

Returns a list of work items that are similar to the given work item

Parameters:

work_id (str): The ID of the work item for which you want to find similar items

Returns:

list: Similar work items

""""""

def search_object_by_name(query):

""""""

Given a search string, returns the ID of a matching object in the system of record.

If multiple matches are found, it returns the one where the confidence is highest

Parameters:

query (str): The search string, could be for example customer’s name, part name, user name

Returns:

str: ID of matching object

""""""

def create_actionable_tasks_from_text(text):

""""""

Given a text, extracts actionable insights, and creates tasks for them,

which are kind of a work item

Parameters:

text (str): The text from which the actionable insights need to be created

Returns:

list: tasks created from the given text

""""""

def who_am_i():

""""""

Returns the string ID of the current user

"""""""
"Summarize all tickets belonging to rev org ""RohIT"". Include detailed information in this summary.","var_1 = works_list(type = [""ticket""],ticket.rev_org = [""RohIT""])
var_2 = summarize_objects(objects = var_1, include_details = True)","def works_list(applies_to_part=None, created_by=None, issue.priority=None,

issue.rev_orgs=None, limit=50, owned_by=None, stage.name=None,

ticket.needs_response=False, ticket.rev_org=None,

ticket.severity=None, ticket.source_channel=None, work_type=None):

""""""

Returns a list of work items matching the request

Parameters:

applies_to_part (list): Filters for work belonging to any of the provided parts

created_by (list): Filters for work created by any of these users

issue.priority (list): Filters for issues with any of the provided priorities. Allowed values: p0, p1, p2, p3

issue.rev_orgs (list): Filters for issues with any of the provided Rev organizations

limit (int): The maximum number of works to return. The default is '50'

owned_by (list): Filters for work owned by any of these users

stage.name (list): Filters for records in the provided stage(s) by name

ticket.needs_response (bool): Filters for tickets that need a response

ticket.rev_org (list): Filters for tickets associated with any of the provided Rev organizations

ticket.severity (list): Filters for tickets with any of the provided severities. Allowed values: blocker, high, low, medium

ticket.source_channel (list): Filters for tickets with any of the provided source channels

type (list): Filters for work of the provided types. Allowed values: issue, ticket, task

Returns:

list: Matching work items

""""""

def summarize_objects(objects, include_details=False):
    """"""
    Summarizes a list of objects. The logic of how to summarize a
    particular object type is an internal implementation detail

    Parameters:
    objects (list): List of objects to summarize
    include_details (bool): Flag to include detailed information in the summary

    Returns:
    text: Summarized text of the objects
    """"""

def prioritize_objects(objects):

""""""

Returns a list of objects sorted by priority. The logic of what constitutes

priority for a given object is an internal implementation detail

Parameters:

objects (list): A list of objects to be prioritized

Returns:

list: Prioritized objects

""""""

def add_work_items_to_sprint(work_ids, sprint_id):

""""""

Adds the given work items to the sprint

Parameters:

work_ids (list): A list of work item IDs to be added to the sprint

sprint_id (str): The ID of the sprint to which the work items should be added

""""""

def get_sprint_id():

""""""

Returns the ID of the current sprint

""""""

def get_similar_work_items(work_id):

""""""

Returns a list of work items that are similar to the given work item

Parameters:

work_id (str): The ID of the work item for which you want to find similar items

Returns:

list: Similar work items

""""""

def search_object_by_name(query):

""""""

Given a search string, returns the ID of a matching object in the system of record.

If multiple matches are found, it returns the one where the confidence is highest

Parameters:

query (str): The search string, could be for example customer’s name, part name, user name

Returns:

str: ID of matching object

""""""

def create_actionable_tasks_from_text(text):

""""""

Given a text, extracts actionable insights, and creates tasks for them,

which are kind of a work item

Parameters:

text (str): The text from which the actionable insights need to be created

Returns:

list: tasks created from the given text

""""""

def who_am_i():

""""""

Returns the string ID of the current user

"""""""
"Summarize all work items similar to ""HEOP3"" with a threshold 0.69. Add these to the current sprint.","var_1 = get_similar_work_items(work_id = ""HEOP3"", similarity_threshold = 0.69)
var_2 = summarize_objects(objects = var_1)
var_3 = get_sprint_id()
var_4 = add_work_items_to_sprint(work_ids = var_1, sprint_id = var_3)","def works_list(applies_to_part=None, created_by=None, issue.priority=None,

issue.rev_orgs=None, limit=50, owned_by=None, stage.name=None,

ticket.needs_response=False, ticket.rev_org=None,

ticket.severity=None, ticket.source_channel=None, work_type=None):

""""""

Returns a list of work items matching the request

Parameters:

applies_to_part (list): Filters for work belonging to any of the provided parts

created_by (list): Filters for work created by any of these users

issue.priority (list): Filters for issues with any of the provided priorities. Allowed values: p0, p1, p2, p3

issue.rev_orgs (list): Filters for issues with any of the provided Rev organizations

limit (int): The maximum number of works to return. The default is '50'

owned_by (list): Filters for work owned by any of these users

stage.name (list): Filters for records in the provided stage(s) by name

ticket.needs_response (bool): Filters for tickets that need a response

ticket.rev_org (list): Filters for tickets associated with any of the provided Rev organizations

ticket.severity (list): Filters for tickets with any of the provided severities. Allowed values: blocker, high, low, medium

ticket.source_channel (list): Filters for tickets with any of the provided source channels

type (list): Filters for work of the provided types. Allowed values: issue, ticket, task

Returns:

list: Matching work items

""""""

def summarize_objects(objects):

""""""

Summarizes a list of objects. The logic of how to summarize a

particular object type is an internal implementation detail

Parameters:

objects (list): List of objects to summarize

Returns:

text: Summarized text of the objects

""""""

def prioritize_objects(objects):

""""""

Returns a list of objects sorted by priority. The logic of what constitutes

priority for a given object is an internal implementation detail

Parameters:

objects (list): A list of objects to be prioritized

Returns:

list: Prioritized objects

""""""

def add_work_items_to_sprint(work_ids, sprint_id):

""""""

Adds the given work items to the sprint

Parameters:

work_ids (list): A list of work item IDs to be added to the sprint

sprint_id (str): The ID of the sprint to which the work items should be added

""""""

def get_sprint_id():

""""""

Returns the ID of the current sprint

""""""

def get_similar_work_items(work_id, similarity_threshold=0.8):
    """"""
    Returns a list of work items that are similar to the given work item

    Parameters:
    work_id (str): The ID of the work item for which you want to find similar items
    similarity_threshold (float): The similarity threshold for considering items as similar

    Returns:
    list: Similar work items
    """"""

def search_object_by_name(query):

""""""

Given a search string, returns the ID of a matching object in the system of record.

If multiple matches are found, it returns the one where the confidence is highest

Parameters:

query (str): The search string, could be for example customer’s name, part name, user name

Returns:

str: ID of matching object

""""""

def create_actionable_tasks_from_text(text):

""""""

Given a text, extracts actionable insights, and creates tasks for them,

which are kind of a work item

Parameters:

text (str): The text from which the actionable insights need to be created

Returns:

list: tasks created from the given text

""""""

def who_am_i():

""""""

Returns the string ID of the current user

"""""""
"Summarize all issues and tickets belonging to user ""BITHC"" in csv format.","var_1 = works_list(owned_by = [""BITHC""], type = [""issue"",""ticket""])
var_2 = summarize_objects(objects = var_1, summary_format = ""csv"")","def works_list(applies_to_part=None, created_by=None, issue.priority=None,

issue.rev_orgs=None, limit=50, owned_by=None, stage.name=None,

ticket.needs_response=False, ticket.rev_org=None,

ticket.severity=None, ticket.source_channel=None, work_type=None):

""""""

Returns a list of work items matching the request

Parameters:

applies_to_part (list): Filters for work belonging to any of the provided parts

created_by (list): Filters for work created by any of these users

issue.priority (list): Filters for issues with any of the provided priorities. Allowed values: p0, p1, p2, p3

issue.rev_orgs (list): Filters for issues with any of the provided Rev organizations

limit (int): The maximum number of works to return. The default is '50'

owned_by (list): Filters for work owned by any of these users

stage.name (list): Filters for records in the provided stage(s) by name

ticket.needs_response (bool): Filters for tickets that need a response

ticket.rev_org (list): Filters for tickets associated with any of the provided Rev organizations

ticket.severity (list): Filters for tickets with any of the provided severities. Allowed values: blocker, high, low, medium

ticket.source_channel (list): Filters for tickets with any of the provided source channels

type (list): Filters for work of the provided types. Allowed values: issue, ticket, task

Returns:

list: Matching work items

""""""

def summarize_objects(objects, summary_format='text'):
    """"""
    Summarizes a list of objects. The logic of how to summarize a
    particular object type is an internal implementation detail

    Parameters:
    objects (list): List of objects to summarize
    summary_format (str): The format in which to present the summary. Default is ""text"". Allowed values = [""json"", ""text"", ""csv""]

    Returns:
    text: Summarized text or structured summary based on the chosen format
    """"""


def prioritize_objects(objects):

""""""

Returns a list of objects sorted by priority. The logic of what constitutes

priority for a given object is an internal implementation detail

Parameters:

objects (list): A list of objects to be prioritized

Returns:

list: Prioritized objects

""""""

def add_work_items_to_sprint(work_ids, sprint_id):

""""""

Adds the given work items to the sprint

Parameters:

work_ids (list): A list of work item IDs to be added to the sprint

sprint_id (str): The ID of the sprint to which the work items should be added

""""""

def get_sprint_id():

""""""

Returns the ID of the current sprint

""""""

def get_similar_work_items(work_id):

""""""

Returns a list of work items that are similar to the given work item

Parameters:

work_id (str): The ID of the work item for which you want to find similar items

Returns:

list: Similar work items

""""""

def search_object_by_name(query):

""""""

Given a search string, returns the ID of a matching object in the system of record.

If multiple matches are found, it returns the one where the confidence is highest

Parameters:

query (str): The search string, could be for example customer’s name, part name, user name

Returns:

str: ID of matching object

""""""

def create_actionable_tasks_from_text(text):

""""""

Given a text, extracts actionable insights, and creates tasks for them,

which are kind of a work item

Parameters:

text (str): The text from which the actionable insights need to be created

Returns:

list: tasks created from the given text

""""""

def who_am_i():

""""""

Returns the string ID of the current user

"""""""
"Summarize the work item named ""TASM"" in the current sprint.","var_1 = search_object_by_name(query = ""TASM"",scope=""sprint"")
var_2 = summarize_objects(objects = var_1)","def works_list(applies_to_part=None, created_by=None, issue.priority=None,

issue.rev_orgs=None, limit=50, owned_by=None, stage.name=None,

ticket.needs_response=False, ticket.rev_org=None,

ticket.severity=None, ticket.source_channel=None, work_type=None):

""""""

Returns a list of work items matching the request

Parameters:

applies_to_part (list): Filters for work belonging to any of the provided parts

created_by (list): Filters for work created by any of these users

issue.priority (list): Filters for issues with any of the provided priorities. Allowed values: p0, p1, p2, p3

issue.rev_orgs (list): Filters for issues with any of the provided Rev organizations

limit (int): The maximum number of works to return. The default is '50'

owned_by (list): Filters for work owned by any of these users

stage.name (list): Filters for records in the provided stage(s) by name

ticket.needs_response (bool): Filters for tickets that need a response

ticket.rev_org (list): Filters for tickets associated with any of the provided Rev organizations

ticket.severity (list): Filters for tickets with any of the provided severities. Allowed values: blocker, high, low, medium

ticket.source_channel (list): Filters for tickets with any of the provided source channels

type (list): Filters for work of the provided types. Allowed values: issue, ticket, task

Returns:

list: Matching work items

""""""

def summarize_objects(objects):

""""""

Summarizes a list of objects. The logic of how to summarize a

particular object type is an internal implementation detail

Parameters:

objects (list): List of objects to summarize

Returns:

text: Summarized text of the objects

""""""

def prioritize_objects(objects):

""""""

Returns a list of objects sorted by priority. The logic of what constitutes

priority for a given object is an internal implementation detail

Parameters:

objects (list): A list of objects to be prioritized

Returns:

list: Prioritized objects

""""""

def add_work_items_to_sprint(work_ids, sprint_id):

""""""

Adds the given work items to the sprint

Parameters:

work_ids (list): A list of work item IDs to be added to the sprint

sprint_id (str): The ID of the sprint to which the work items should be added

""""""

def get_sprint_id():

""""""

Returns the ID of the current sprint

""""""

def get_similar_work_items(work_id):

""""""

Returns a list of work items that are similar to the given work item

Parameters:

work_id (str): The ID of the work item for which you want to find similar items

Returns:

list: Similar work items

""""""
def search_object_by_name(query,scope):

""""""

Given a search string, returns the ID of a matching object in the system of record.

If multiple matches are found, it returns the one where the confidence is highest

Parameters:

query (str): The search string, could be for example customer’s name, part name, user name
scope(str): The scope of the search, by default ""sprint"". Allowed values = [""sprint"",""global""]

Returns:

str: ID of matching object

""""""

def create_actionable_tasks_from_text(text):

""""""

Given a text, extracts actionable insights, and creates tasks for them,

which are kind of a work item

Parameters:

text (str): The text from which the actionable insights need to be created

Returns:

list: tasks created from the given text

""""""

def who_am_i():

""""""

Returns the string ID of the current user

"""""""
"Summarize all work items belonging me, including archives.","var_1 = who_am_i()
var_2 = works_list(owned_by = [var_1], include_archived = True)
var_3 = summarize_objects(objects = var_2)","def works_list(applies_to_part=None, created_by=None, issue.priority=None,

issue.rev_orgs=None, limit=50, owned_by=None, stage.name=None,

ticket.needs_response=False, ticket.rev_org=None,

ticket.severity=None, ticket.source_channel=None, work_type=None, include_archived=False):

""""""

Returns a list of work items matching the request

Parameters:

applies_to_part (list): Filters for work belonging to any of the provided parts

created_by (list): Filters for work created by any of these users

issue.priority (list): Filters for issues with any of the provided priorities. Allowed values: p0, p1, p2, p3

issue.rev_orgs (list): Filters for issues with any of the provided Rev organizations

limit (int): The maximum number of works to return. The default is '50'

owned_by (list): Filters for work owned by any of these users

stage.name (list): Filters for records in the provided stage(s) by name

ticket.needs_response (bool): Filters for tickets that need a response

ticket.rev_org (list): Filters for tickets associated with any of the provided Rev organizations

ticket.severity (list): Filters for tickets with any of the provided severities. Allowed values: blocker, high, low, medium

ticket.source_channel (list): Filters for tickets with any of the provided source channels

type (list): Filters for work of the provided types. Allowed values: issue, ticket, task

include_archived (bool): If true, will include archived work items. Default is False.

Returns:

list: Matching work items

""""""

def summarize_objects(objects):

""""""

Summarizes a list of objects. The logic of how to summarize a

particular object type is an internal implementation detail

Parameters:

objects (list): List of objects to summarize

Returns:

text: Summarized text of the objects

""""""

def prioritize_objects(objects):

""""""

Returns a list of objects sorted by priority. The logic of what constitutes

priority for a given object is an internal implementation detail

Parameters:

objects (list): A list of objects to be prioritized

Returns:

list: Prioritized objects

""""""

def add_work_items_to_sprint(work_ids, sprint_id):

""""""

Adds the given work items to the sprint

Parameters:

work_ids (list): A list of work item IDs to be added to the sprint

sprint_id (str): The ID of the sprint to which the work items should be added

""""""

def get_sprint_id():

""""""

Returns the ID of the current sprint

""""""

def get_similar_work_items(work_id):

""""""

Returns a list of work items that are similar to the given work item

Parameters:

work_id (str): The ID of the work item for which you want to find similar items

Returns:

list: Similar work items

""""""

def search_object_by_name(query):

""""""

Given a search string, returns the ID of a matching object in the system of record.

If multiple matches are found, it returns the one where the confidence is highest

Parameters:

query (str): The search string, could be for example customer’s name, part name, user name

Returns:

str: ID of matching object

""""""

def create_actionable_tasks_from_text(text):

""""""

Given a text, extracts actionable insights, and creates tasks for them,

which are kind of a work item

Parameters:

text (str): The text from which the actionable insights need to be created

Returns:

list: tasks created from the given text

""""""

def who_am_i():

""""""

Returns the string ID of the current user

"""""""
Summarize all issues belonging to user RR998. Create actionable tasks from this summary and assign them to user BB334.,"var_1 = works_list(type = [""issue""], owned_by = [""RR998""])
var_2 = summarize_objects(objects = var_1)
var_3 = create_actionable_tasks_from_text(text = var_2, owner = ""BB334"")","def works_list(applies_to_part=None, created_by=None, issue.priority=None,

issue.rev_orgs=None, limit=50, owned_by=None, stage.name=None,

ticket.needs_response=False, ticket.rev_org=None,

ticket.severity=None, ticket.source_channel=None, work_type=None):

""""""

Returns a list of work items matching the request

Parameters:

applies_to_part (list): Filters for work belonging to any of the provided parts

created_by (list): Filters for work created by any of these users

issue.priority (list): Filters for issues with any of the provided priorities. Allowed values: p0, p1, p2, p3

issue.rev_orgs (list): Filters for issues with any of the provided Rev organizations

limit (int): The maximum number of works to return. The default is '50'

owned_by (list): Filters for work owned by any of these users

stage.name (list): Filters for records in the provided stage(s) by name

ticket.needs_response (bool): Filters for tickets that need a response

ticket.rev_org (list): Filters for tickets associated with any of the provided Rev organizations

ticket.severity (list): Filters for tickets with any of the provided severities. Allowed values: blocker, high, low, medium

ticket.source_channel (list): Filters for tickets with any of the provided source channels

type (list): Filters for work of the provided types. Allowed values: issue, ticket, task

Returns:

list: Matching work items

""""""

def summarize_objects(objects):

""""""

Summarizes a list of objects. The logic of how to summarize a

particular object type is an internal implementation detail

Parameters:

objects (list): List of objects to summarize

Returns:

text: Summarized text of the objects

""""""

def prioritize_objects(objects):

""""""

Returns a list of objects sorted by priority. The logic of what constitutes

priority for a given object is an internal implementation detail

Parameters:

objects (list): A list of objects to be prioritized

Returns:

list: Prioritized objects

""""""

def add_work_items_to_sprint(work_ids, sprint_id):

""""""

Adds the given work items to the sprint

Parameters:

work_ids (list): A list of work item IDs to be added to the sprint

sprint_id (str): The ID of the sprint to which the work items should be added

""""""

def get_sprint_id():

""""""

Returns the ID of the current sprint

""""""

def get_similar_work_items(work_id):

""""""

Returns a list of work items that are similar to the given work item

Parameters:

work_id (str): The ID of the work item for which you want to find similar items

Returns:

list: Similar work items

""""""

def search_object_by_name(query):

""""""

Given a search string, returns the ID of a matching object in the system of record.

If multiple matches are found, it returns the one where the confidence is highest

Parameters:

query (str): The search string, could be for example customer’s name, part name, user name

Returns:

str: ID of matching object

""""""

def create_actionable_tasks_from_text(text,owner):

""""""

Given a text, extracts actionable insights, and creates tasks for them,

which are kind of a work item

Parameters:

text (str): The text from which the actionable insights need to be created
owner (str): The owner of these tasks. Default is current user.

Returns:

list: tasks created from the given text

""""""

def who_am_i():

""""""

Returns the string ID of the current user

"""""""
