Query,Output
"Create tasks from the text ""WeeklyUpdate"" and if the user is ""USER-XYZ"", assign them to the current sprint. If not, assign them to sprint ""SPRINT-789"".","var_1 = who_am_i()
var_2 = create_actionable_tasks_from_text(text=""WeeklyUpdate"")
if(var_1==""USER-XYZ""):
    temp_1 = get_sprint_id()
    temp_2 = add_work_items_to_sprint(work_ids=var_2, sprint_id=temp_1)
else:
    temp_1 = add_work_items_to_sprint(work_ids=var_2, sprint_id=""SPRINT-789"")"
"Retrieve work items with type ""task"" and severity ""high"", summarize them, and assign the first 10 to user ""USER-123"".","for loop_var in range(0,10):
    temp_1 = works_list(type=[""task""], ticket.severity=[""high""])
    temp_2 = summarize_objects(objects=temp_1)
    temp_3 = assign_task_to_user(task_id=temp_1[loop_var], user_id=""USER-123"")"
"Find work items with priority ""p1"" and type ""issue"", prioritize them, and add the top 3 to sprint ""SPRINT-321"".","var_1 = works_list(issue.priority=[""p1""], type=[""issue""])
var_2 = prioritize_objects(objects=var_1)
for loop_var in var_2:
    var_3 = add_work_items_to_sprint(work_ids=loop_var, sprint_id=""SPRINT-321"")"
"Extract tasks from the text ""ReleaseNotes"", prioritize them, and assign the first 5 to the current sprint.","var_1 = create_actionable_tasks_from_text(text=""ReleaseNotes"")
var_2 = prioritize_objects(objects=var_1)
for loop_var in var_2:   
    temp_1 = get_sprint_id()
    temp_2 = add_work_items_to_sprint(work_ids=loop_var, sprint_id=temp_1)"
"Fetch tasks for user ""USER-999"", prioritize them, and mark the top 2 as completed.","for loop_var in range(0,2):
    temp_1 = fetch_user_tasks(user_id=""USER-999"")
    temp_2 = prioritize_objects(objects=temp_1)
    temp_3 = mark_task_as_completed(task_id=temp_2[loop_var])"
"Summarize all tickets with source channel ""email"", prioritize them, and assign the most critical one to the current sprint.","var_1 = works_list(ticket.source_channel=[""email""], type=[""ticket""])
var_2 = summarize_objects(objects=var_1)
var_3 = prioritize_objects(objects=var_1)
var_4 = get_sprint_id()
var_5 = add_work_items_to_sprint(work_ids=[var_3[0]], sprint_id=var_4)"
"Find work items owned by ""USER-222"", summarize them, and estimate the work hours for each item.","var_1 = search_object_by_name(query=""USER-222"")
var_2 = works_list(owned_by=[var_1])
var_3 = summarize_objects(objects=var_2)
for loop_var in var_2:
    temp_1 = estimate_work_hours(work_id=loop_var)"
"Retrieve all tasks created by ""USER-333"", prioritize them, and assign the one with the highest priority to ""USER-444"".","var_1 = works_list(created_by=[""USER-333""], type=[""task""])
var_2 = prioritize_objects(objects=var_1)
var_3 = assign_task_to_user(task_id=var_2[0], user_id=""USER-444"")"
"Extract tasks from the text ""ClientFeedback"", create a report for each task, and assign the tasks to ""USER-555"".","var_1 = create_actionable_tasks_from_text(text=""ClientFeedback"")
for loop_var in var_1:
    temp_1 = generate_report(report_type=""task"", subject_id=loop_var)
    temp_2 = assign_task_to_user(task_id=loop_var, user_id=""USER-555"")"
"Create tasks from the text ""ClientMeetingSummary"", prioritize them, and assign the first 3 to user ""USER-999"".","for loop_var in range(0,3):
    temp_1 = create_actionable_tasks_from_text(text=""ClientMeetingSummary"")
    temp_2 = prioritize_objects(objects=temp_1)
    temp_3 = assign_task_to_user(task_id=temp_2[loop_var], user_id=""USER-999"")"
"Retrieve all tasks assigned to ""USER-1010"", prioritize them, and mark the least critical one as completed.","var_1 = fetch_user_tasks(user_id=""USER-1010"")
var_2 = prioritize_objects(objects=var_1)
var_3 = mark_task_as_completed(task_id=var_2[-1])"
"Find work items related to part ""PART-234"", summarize them, and estimate the work hours for each.","var_1 = search_object_by_name(query=""PART-234"")
var_2 = works_list(applies_to_part=[var_1])
var_3 = summarize_objects(objects=var_2)
for loop_var in var_2:
    temp_1 = estimate_work_hours(work_id=loop_var)"
"Extract tasks from the text ""DevelopmentPlan"", prioritize them, and assign them to the current sprint.","var_1 = create_actionable_tasks_from_text(text=""DevelopmentPlan"")
var_2 = prioritize_objects(objects=var_1)
var_3 = get_sprint_id()
for loop_var in var_2:
    temp_1 = add_work_items_to_sprint(work_ids=loop_var, sprint_id=var_3)"
"Get similar work items to ""ISSUE-345"", summarize them, and assign the most critical one to ""USER-1111"".","var_1 = get_similar_work_items(work_id=""ISSUE-345"")
var_2 = summarize_objects(objects=var_1)
var_3 = prioritize_objects(objects=var_1)
var_4 = assign_task_to_user(task_id=var_3[0], user_id=""USER-1111"")"
"Fetch tasks for user ""USER-1212"", prioritize them, and assign the top 3 to sprint ""SPRINT-543"".","var_1 = fetch_user_tasks(user_id=""USER-1212"")
var_2 = prioritize_objects(objects=var_1)
var_3 = add_work_items_to_sprint(work_ids=var_2[0:3], sprint_id=""SPRINT-543"")"
"Search for the object ID with the name ""ProjectAlpha"" and generate a report for it, including a summary.","var_1 = search_object_by_name(query=""ProjectAlpha"")
var_2 = generate_report(report_type=""object"", subject_id=var_1, include_summary=True)"
"Assign all tasks related to the part ""PART-789"" to the user with ID ""USER-321"".","for loop_var in range(0,50):
    temp_1 = search_object_by_name(query=""PART-789"")
    temp_2 = works_list(applies_to_part=[temp_1], type=[""task""])
    temp_3 = assign_task_to_user(task_id=temp_2[loop_var], user_id=""USER-321"")"
"Create actionable tasks from the text in the document ""DocXYZ"", and estimate the work hours for each task created.","for loop_var in range(0,50):
    temp_1 = create_actionable_tasks_from_text(text=""DocXYZ"")
    temp_2 = estimate_work_hours(work_id=temp_1[loop_var])"
"Fetch all tasks for user ""USER-111"", prioritize them, and assign the tasks to the user ""USER-222"".","var_1 = fetch_user_tasks(user_id=""USER-111"")
var_2 = prioritize_objects(objects=var_1)
for loop_var in var_2:
    temp_1 = assign_task_to_user(task_id=loop_var, user_id=""USER-222"")"
"Get the sprint ID for ""SprintBeta"", find all work items with priority ""p1"" and add them to ""SprintBeta"".","var_1 = search_object_by_name(query=""SprintBeta"")
var_2 = works_list(issue.priority=[""p1""], type=[""task""])
var_3 = add_work_items_to_sprint(work_ids=var_2, sprint_id=var_1)"
"Extract tasks from the text ""WeeklyUpdate"", mark them as completed, and summarize them for review.","var_1 = create_actionable_tasks_from_text(text=""WeeklyUpdate"")
for loop_var in var_1
    temp_1 = mark_task_as_completed(task_id=loop_var)
    temp_2 = summarize_objects(objects=loop_var)"
"Find similar work items to ""ISSUE-101"", prioritize them, and add the top two to the sprint with ID ""SPRINT-789"".","for loop_var in range(0,2):
    temp_1 = get_similar_work_items(work_id=""ISSUE-101"")
    temp_2 = prioritize_objects(objects=temp_1)
    temp_3 = add_work_items_to_sprint(work_ids=temp_2[loop_var], sprint_id=""SPRINT-789"")"
"Delete the object with the name ""ObsoleteItem"" from the system after searching for its ID.","var_1 = search_object_by_name(query=""ObsoleteItem"")
var_2 = delete_object_by_id(object_id=var_1)"
"Generate a report for the subject with ID ""SUBJECT-123"" without including a summary, and then search for the object by the name ""ReportSubject"".","var_1 = generate_report(report_type=""subject"", subject_id=""SUBJECT-123"", include_summary=False)
var_2 = search_object_by_name(query=""ReportSubject"")"
"Assign the task with ID ""TASK-999"" to the current user and then mark it as completed.","var_1 = who_am_i()
var_2 = assign_task_to_user(task_id=""TASK-999"", user_id=var_1)
var_3 = mark_task_as_completed(task_id=""TASK-999"")"
"Create actionable tasks from the customer feedback text ""Feedback123"" and assign all created tasks to user ""USER-789"".","for loop_var in range(0,50):
    temp_1 = create_actionable_tasks_from_text(text=""Feedback123"")
    temp_2 = assign_task_to_user(task_id=temp_1[loop_var], user_id=""USER-789"")"
"Fetch all tasks for user ""USER-987"", summarize them, and generate a report for user ""USER-987"" with the summarized tasks.","var_1 = fetch_user_tasks(user_id=""USER-987"")
var_2 = summarize_objects(objects=var_1)
var_3 = generate_report(report_type=""tasks"", subject_id=""USER-987"")"
